bilseq;siren
23094755;327861431
23094757;327878393
23094766;329936637
23094753;331495655
23094754;331660241
23094768;331982710
23094752;333109122
23094769;334783644
23094751;338753411
23094767;339063984
23094772;349496869
23094750;378951883
23094760;382795532
23094759;382795532
23094771;393114129
23094775;393648738
23094756;403158702
23046887;423615780
23094773;434056024
23094774;480110121
23094764;490850112
23094765;497952317
23094758;519428130
23094770;524850211
23094763;535246763
23094762;797648698
23094761;797648698
23141552;315858746
23141550;326532686
23141553;327580486
23141544;338434863
23141549;345192439
23141556;348968173
23141551;378275481
23141546;388625766
23141542;388963605
23141557;409066768
23141541;413133653
23141547;418078820
23141548;419845219
23141555;422380865
23141563;434158663
23141558;441717865
23141554;447541970
23141543;489823914
23141545;511047979
23141559;532103918
23141562;790209001
23141561;790360564
23141560;808659817
23141587;301026571
23094820;301026571
23141570;306854779
22087595;306854779
23141568;306854779
23094803;306854779
23141577;311944938
23094810;311944938
23141571;313002446
22126499;313002446
23141569;333749521
23094804;333749521
23141584;341644839
23094817;341644839
23141576;351805049
23094809;351805049
23141575;351805049
23094808;351805049
23141574;351805049
23094807;351805049
23141581;379535693
23094814;379535693
23141579;384010443
23094812;384010443
23141583;407841535
23094816;407841535
23141586;412471591
23094819;412471591
23141582;413520859
23094815;413520859
23141566;423191741
23094801;423191741
23141564;434050134
23094799;434050134
23141573;438664062
23094806;438664062
23141578;453106718
23094811;453106718
23141572;484009188
23094805;484009188
23141585;491739389
23094818;491739389
23141588;499289536
23094821;499289536
23141580;509694436
23094813;509694436
23141567;788590792
23094802;788590792
23141565;798573168
23094800;798573168
